,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
578,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,5,2005-01-31,2005-02-06,,,,,,,,,,,,,,,No Report
579,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,6,2005-02-07,2005-02-13,,,,,,,,,,,,,,,No Report
580,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,7,2005-02-14,2005-02-20,,,,,,,,,,,,,,,No Report
581,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,8,2005-02-21,2005-02-27,,,,,,,,,,,,,,,No Report
582,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,9,2005-02-28,2005-03-06,,,,,,,,,,,,,,,No Report
583,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,10,2005-03-07,2005-03-13,,,,,,,,,,,,,,,No Report
584,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,11,2005-03-14,2005-03-20,,,,,,,,,,,,,,,No Report
585,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,12,2005-03-21,2005-03-27,,,,,,,,,,,,,,,No Report
586,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,13,2005-03-28,2005-04-03,,,,,,,,,,,,,,,No Report
587,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,14,2005-04-04,2005-04-10,,,,,,,,,,,,,,,No Report
588,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,15,2005-04-11,2005-04-17,,,,,,,,,,,,,,,No Report
589,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,16,2005-04-18,2005-04-24,,,,,,,,,,,,,,,No Report
590,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,17,2005-04-25,2005-05-01,,,,,,,,,,,,,,,No Report
591,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,18,2005-05-02,2005-05-08,,,,,,,,,,,,,,,No Report
592,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,19,2005-05-09,2005-05-15,,,,,,,,,,,,,,,No Report
593,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,20,2005-05-16,2005-05-22,,,,,,,,,,,,,,,No Report
594,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,21,2005-05-23,2005-05-29,,,,,,,,,,,,,,,No Report
595,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,22,2005-05-30,2005-06-05,,,,,,,,,,,,,,,No Report
596,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,23,2005-06-06,2005-06-12,,,,,,,,,,,,,,,No Report
597,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,24,2005-06-13,2005-06-19,,,,,,,,,,,,,,,No Report
598,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,25,2005-06-20,2005-06-26,,,,,,,,,,,,,,,No Report
599,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,26,2005-06-27,2005-07-03,,,,,,,,,,,,,,,No Report
600,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,27,2005-07-04,2005-07-10,,,,,,,,,,,,,,,No Report
601,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,28,2005-07-11,2005-07-17,,,,,,,,,,,,,,,No Report
602,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,29,2005-07-18,2005-07-24,,,,,,,,,,,,,,,No Report
603,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,30,2005-07-25,2005-07-31,,,,,,,,,,,,,,,No Report
604,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,31,2005-08-01,2005-08-07,,,,,,,,,,,,,,,No Report
605,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,32,2005-08-08,2005-08-14,,,,,,,,,,,,,,,No Report
606,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,33,2005-08-15,2005-08-21,,,,,,,,,,,,,,,No Report
607,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,34,2005-08-22,2005-08-28,,,,,,,,,,,,,,,No Report
608,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,35,2005-08-29,2005-09-04,,,,,,,,,,,,,,,No Report
609,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,36,2005-09-05,2005-09-11,,,,,,,,,,,,,,,No Report
610,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,37,2005-09-12,2005-09-18,,,,,,,,,,,,,,,No Report
611,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,38,2005-09-19,2005-09-25,,,,,,,,,,,,,,,No Report
612,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,39,2005-09-26,2005-10-02,,,,,,,,,,,,,,,No Report
613,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,40,2005-10-03,2005-10-09,,,,,,,,,,,,,,,No Report
614,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,41,2005-10-10,2005-10-16,,,,,,,,,,,,,,,No Report
615,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,42,2005-10-17,2005-10-23,,,,,,,,,,,,,,,No Report
616,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,43,2005-10-24,2005-10-30,,,,,,,,,,,,,,,No Report
617,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,44,2005-10-31,2005-11-06,,,,,,,,,,,,,,,No Report
618,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,45,2005-11-07,2005-11-13,,,,,,,,,,,,,,,No Report
619,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,46,2005-11-14,2005-11-20,,,,,,,,,,,,,,,No Report
620,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,47,2005-11-21,2005-11-27,,,,,,,,,,,,,,,No Report
621,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,48,2005-11-28,2005-12-04,,,,,,,,,,,,,,,No Report
622,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,49,2005-12-05,2005-12-11,,,,,,,,,,,,,,,No Report
623,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,50,2005-12-12,2005-12-18,,,,,,,,,,,,,,,No Report
624,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,51,2005-12-19,2005-12-25,,,,,,,,,,,,,,,No Report
625,Panama,Region of the Americas of WHO,Central America and Caribbean,2005,52,2005-12-26,2006-01-01,,,,,,,,,,,,,,,No Report
626,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,1,2006-01-02,2006-01-08,,,,,,,,,,,,,,,No Report
627,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,2,2006-01-09,2006-01-15,,,,,,,,,,,,,,,No Report
628,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,3,2006-01-16,2006-01-22,,,,,,,,,,,,,,,No Report
629,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,4,2006-01-23,2006-01-29,,,,,,,,,,,,,,,No Report
630,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,5,2006-01-30,2006-02-05,,,,,,,,,,,,,,,No Report
631,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,6,2006-02-06,2006-02-12,,,,,,,,,,,,,,,No Report
632,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,7,2006-02-13,2006-02-19,,,,,,,,,,,,,,,No Report
633,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,8,2006-02-20,2006-02-26,,,,,,,,,,,,,,,No Report
634,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,9,2006-02-27,2006-03-05,,,,,,,,,,,,,,,No Report
635,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,10,2006-03-06,2006-03-12,,,,,,,,,,,,,,,No Report
636,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,11,2006-03-13,2006-03-19,,,,,,,,,,,,,,,No Report
637,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,12,2006-03-20,2006-03-26,,,,,,,,,,,,,,,No Report
638,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,13,2006-03-27,2006-04-02,,,,,,,,,,,,,,,No Report
639,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,14,2006-04-03,2006-04-09,,,,,,,,,,,,,,,No Report
640,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,15,2006-04-10,2006-04-16,,,,,,,,,,,,,,,No Report
641,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,16,2006-04-17,2006-04-23,,,,,,,,,,,,,,,No Report
642,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,17,2006-04-24,2006-04-30,,,,,,,,,,,,,,,No Report
643,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,18,2006-05-01,2006-05-07,,,,,,,,,,,,,,,No Report
644,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,19,2006-05-08,2006-05-14,,,,,,,,,,,,,,,No Report
645,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,20,2006-05-15,2006-05-21,,,,,,,,,,,,,,,No Report
646,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,21,2006-05-22,2006-05-28,,,,,,,,,,,,,,,No Report
647,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,22,2006-05-29,2006-06-04,,,,,,,,,,,,,,,No Report
648,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,23,2006-06-05,2006-06-11,,,,,,,,,,,,,,,No Report
649,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,24,2006-06-12,2006-06-18,,,,,,,,,,,,,,,No Report
650,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,25,2006-06-19,2006-06-25,,,,,,,,,,,,,,,No Report
651,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,26,2006-06-26,2006-07-02,,,,,,,,,,,,,,,No Report
652,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,27,2006-07-03,2006-07-09,,,,,,,,,,,,,,,No Report
653,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,28,2006-07-10,2006-07-16,,,,,,,,,,,,,,,No Report
654,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,29,2006-07-17,2006-07-23,,,,,,,,,,,,,,,No Report
655,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,30,2006-07-24,2006-07-30,,,,,,,,,,,,,,,No Report
656,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,31,2006-07-31,2006-08-06,,,,,,,,,,,,,,,No Report
657,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,32,2006-08-07,2006-08-13,,,,,,,,,,,,,,,No Report
658,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,33,2006-08-14,2006-08-20,,,,,,,,,,,,,,,No Report
659,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,34,2006-08-21,2006-08-27,,,,,,,,,,,,,,,No Report
660,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,35,2006-08-28,2006-09-03,,,,,,,,,,,,,,,No Report
661,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,36,2006-09-04,2006-09-10,,,,,,,,,,,,,,,No Report
662,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,37,2006-09-11,2006-09-17,,,,,,,,,,,,,,,No Report
663,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,38,2006-09-18,2006-09-24,,,,,,,,,,,,,,,No Report
664,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,39,2006-09-25,2006-10-01,,,,,,,,,,,,,,,No Report
665,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,40,2006-10-02,2006-10-08,,,,,,,,,,,,,,,No Report
666,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,41,2006-10-09,2006-10-15,,,,,,,,,,,,,,,No Report
667,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,42,2006-10-16,2006-10-22,,,,,,,,,,,,,,,No Report
668,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,43,2006-10-23,2006-10-29,,,,,,,,,,,,,,,No Report
669,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,44,2006-10-30,2006-11-05,,,,,,,,,,,,,,,No Report
670,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,45,2006-11-06,2006-11-12,,,,,,,,,,,,,,,No Report
671,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,46,2006-11-13,2006-11-19,,,,,,,,,,,,,,,No Report
672,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,47,2006-11-20,2006-11-26,,,,,,,,,,,,,,,No Report
673,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,48,2006-11-27,2006-12-03,,,,,,,,,,,,,,,No Report
674,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,49,2006-12-04,2006-12-10,,,,,,,,,,,,,,,No Report
675,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,50,2006-12-11,2006-12-17,,,,,,,,,,,,,,,No Report
676,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,51,2006-12-18,2006-12-24,,,,,,,,,,,,,,,No Report
677,Panama,Region of the Americas of WHO,Central America and Caribbean,2006,52,2006-12-25,2006-12-31,,,,,,,,,,,,,,,No Report
678,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,1,2007-01-01,2007-01-07,,1.0,,,,,0.0,0.0,,,0.0,0.0,0.0,1.0,No Activity
679,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,2,2007-01-08,2007-01-14,,6.0,,,,,0.0,0.0,,,1.0,1.0,1.0,5.0,No Activity
680,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,3,2007-01-15,2007-01-21,,5.0,,,,,,0.0,,,0.0,0.0,0.0,5.0,No Activity
681,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,4,2007-01-22,2007-01-28,,6.0,,,,,,0.0,,,0.0,0.0,0.0,6.0,No Activity
682,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,5,2007-01-29,2007-02-04,,4.0,,,,,,0.0,,,0.0,0.0,0.0,4.0,No Activity
683,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,6,2007-02-05,2007-02-11,,5.0,,,,,,0.0,,,0.0,0.0,0.0,5.0,No Activity
684,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,7,2007-02-12,2007-02-18,,5.0,,,,,,0.0,,,1.0,1.0,1.0,4.0,No Activity
685,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,8,2007-02-19,2007-02-25,,0.0,,,,,,0.0,,,0.0,0.0,0.0,,No Report
686,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,9,2007-02-26,2007-03-04,,4.0,,,,,,0.0,,,0.0,0.0,0.0,4.0,No Activity
687,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,10,2007-03-05,2007-03-11,,1.0,,,,,,0.0,,,0.0,0.0,0.0,1.0,No Activity
688,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,11,2007-03-12,2007-03-18,,3.0,,,,,,0.0,,,0.0,0.0,0.0,3.0,No Activity
689,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,12,2007-03-19,2007-03-25,,3.0,,,,,,0.0,,,0.0,0.0,0.0,3.0,No Activity
690,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,13,2007-03-26,2007-04-01,,5.0,,,,,,0.0,,,0.0,0.0,0.0,5.0,No Activity
691,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,14,2007-04-02,2007-04-08,,10.0,,,,,2.0,2.0,,,0.0,0.0,2.0,8.0,No Activity
692,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,15,2007-04-09,2007-04-15,,8.0,,,,,1.0,1.0,,,0.0,0.0,1.0,7.0,No Activity
693,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,16,2007-04-16,2007-04-22,,10.0,,,,,2.0,2.0,,,0.0,0.0,2.0,8.0,No Activity
694,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,17,2007-04-23,2007-04-29,,2.0,,,,,,0.0,,,0.0,0.0,0.0,2.0,No Activity
695,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,18,2007-04-30,2007-05-06,,6.0,,,,,,0.0,,,0.0,0.0,0.0,6.0,No Activity
696,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,19,2007-05-07,2007-05-13,,4.0,,,,,,0.0,,,1.0,1.0,1.0,3.0,No Activity
697,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,20,2007-05-14,2007-05-20,,10.0,,,,,,0.0,,,0.0,0.0,0.0,10.0,No Activity
698,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,21,2007-05-21,2007-05-27,,15.0,,,,,6.0,6.0,,,0.0,0.0,6.0,9.0,No Activity
699,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,22,2007-05-28,2007-06-03,,23.0,,,,,6.0,6.0,,,0.0,0.0,6.0,17.0,No Activity
700,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,23,2007-06-04,2007-06-10,,33.0,,,,,7.0,7.0,,,0.0,0.0,7.0,26.0,No Activity
701,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,24,2007-06-11,2007-06-17,,18.0,,,,,2.0,2.0,,,1.0,1.0,3.0,15.0,No Activity
702,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,25,2007-06-18,2007-06-24,,15.0,,,,,3.0,3.0,,,0.0,0.0,3.0,12.0,No Activity
703,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,26,2007-06-25,2007-07-01,,15.0,,,,,2.0,2.0,,,1.0,1.0,3.0,12.0,No Activity
704,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,27,2007-07-02,2007-07-08,,17.0,,,,,3.0,3.0,,,0.0,0.0,3.0,14.0,No Activity
705,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,28,2007-07-09,2007-07-15,,16.0,,,,,1.0,1.0,,,0.0,0.0,1.0,15.0,No Activity
706,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,29,2007-07-16,2007-07-22,,7.0,,,,,,0.0,,,0.0,0.0,0.0,7.0,No Activity
707,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,30,2007-07-23,2007-07-29,,17.0,,,,,1.0,1.0,,,0.0,0.0,1.0,16.0,No Activity
708,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,31,2007-07-30,2007-08-05,,17.0,,,,,2.0,2.0,,,2.0,2.0,4.0,13.0,No Activity
709,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,32,2007-08-06,2007-08-12,,12.0,,,,,3.0,3.0,,,0.0,0.0,3.0,9.0,No Activity
710,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,33,2007-08-13,2007-08-19,,8.0,,,,,1.0,1.0,,,0.0,0.0,1.0,7.0,No Activity
711,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,34,2007-08-20,2007-08-26,,15.0,,,,,1.0,1.0,,,0.0,0.0,1.0,14.0,No Activity
712,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,35,2007-08-27,2007-09-02,,14.0,,,,,,0.0,,,0.0,0.0,0.0,14.0,No Activity
713,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,36,2007-09-03,2007-09-09,,18.0,,,,,1.0,1.0,,,0.0,0.0,1.0,17.0,No Activity
714,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,37,2007-09-10,2007-09-16,,19.0,,,,,,0.0,,,1.0,1.0,1.0,18.0,No Activity
715,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,38,2007-09-17,2007-09-23,,40.0,,,,,,0.0,,,3.0,3.0,3.0,37.0,No Activity
716,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,39,2007-09-24,2007-09-30,,47.0,,,,,3.0,3.0,,,6.0,6.0,9.0,38.0,No Activity
717,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,40,2007-10-01,2007-10-07,,19.0,,,,,3.0,3.0,,,2.0,2.0,5.0,14.0,No Activity
718,Panama,Region of the Americas of WHO,Central America and Caribbean,2007,41,2007-10-08,2007-10-14,,31.0,,,,,1.0,1.0,,,0.0,0.0,1.0,30.0,No Report
